task_id,replicate,num_circles,num_layers,vel_range,freq_range,source_type,signal
00000,0,0,0,"(1.5, 3.75)","(1.0, 8.0)",ricker,1
00000,1,0,0,"(1.5, 3.75)","(1.0, 8.0)",ricker,1
00000,2,0,0,"(1.5, 3.75)","(1.0, 8.0)",ricker,1
00000,3,0,0,"(1.5, 3.75)","(1.0, 8.0)",ricker,1
00000,4,0,0,"(1.5, 3.75)","(1.0, 8.0)",ricker,1
00000,5,0,0,"(1.5, 3.75)","(1.0, 8.0)",ricker,1
00000,6,0,0,"(1.5, 3.75)","(1.0, 8.0)",ricker,1
00000,7,0,0,"(1.5, 3.75)","(1.0, 8.0)",ricker,1
00000,8,0,0,"(1.5, 3.75)","(1.0, 8.0)",ricker,1
00000,9,0,0,"(1.5, 3.75)","(1.0, 8.0)",ricker,1
00000,10,0,0,"(1.5, 3.75)","(1.0, 8.0)",ricker,1
00000,11,0,0,"(1.5, 3.75)","(1.0, 8.0)",ricker,1
00000,12,0,0,"(1.5, 3.75)","(1.0, 8.0)",ricker,1
00000,13,0,0,"(1.5, 3.75)","(1.0, 8.0)",ricker,1
00000,14,0,0,"(1.5, 3.75)","(1.0, 8.0)",ricker,1
00000,15,0,0,"(1.5, 3.75)","(1.0, 8.0)",ricker,1
00000,16,0,0,"(1.5, 3.75)","(1.0, 8.0)",ricker,1
00000,17,0,0,"(1.5, 3.75)","(1.0, 8.0)",ricker,1
00000,18,0,0,"(1.5, 3.75)","(1.0, 8.0)",ricker,1
00000,19,0,0,"(1.5, 3.75)","(1.0, 8.0)",ricker,1
00000,20,0,0,"(1.5, 3.75)","(1.0, 8.0)",ricker,1
00000,21,0,0,"(1.5, 3.75)","(1.0, 8.0)",ricker,1
00000,22,0,0,"(1.5, 3.75)","(1.0, 8.0)",ricker,1
00000,23,0,0,"(1.5, 3.75)","(1.0, 8.0)",ricker,1
00000,24,0,0,"(1.5, 3.75)","(1.0, 8.0)",ricker,1
00000,25,0,0,"(1.5, 3.75)","(1.0, 8.0)",ricker,1
00000,26,0,0,"(1.5, 3.75)","(1.0, 8.0)",ricker,1
